captured_at,api_time,temp_c,apparent_c,dew_point_c,humidity_pct,pressure_msl_hpa,surface_pressure_hpa,wind_kph,wind_dir_deg,gusts_kph,precip_mm,rain_mm,snowfall_cm,cloud_pct,uv_index,visibility_m,weather_code,is_day,sunrise,sunset,aqi,pm2_5,pm10
2026-07-15T00:00,2026-07-15T00:00,16.4,15.6,13.9,85,1025.2,1013.8,13.8,47,29.9,0.0,0.0,0.0,8,,,0,0,05:02,21:22,,,
2026-07-15T01:00,2026-07-15T01:00,15.5,14.6,13.5,88,1025.4,1013.9,13.4,43,26.6,0.0,0.0,0.0,4,,,0,0,05:02,21:22,,,
2026-07-15T02:00,2026-07-15T02:00,15.1,14.3,13.4,89,1025.4,1013.9,12.6,43,25.6,0.0,0.0,0.0,32,,,1,0,05:02,21:22,,,
2026-07-15T03:00,2026-07-15T03:00,15.1,14.2,13.3,89,1025.2,1013.7,13.1,43,25.2,0.0,0.0,0.0,65,,,2,0,05:02,21:22,,,
2026-07-15T04:00,2026-07-15T04:00,15.0,14.0,13.2,89,1025.2,1013.7,13.6,42,26.3,0.0,0.0,0.0,95,,,3,0,05:02,21:22,,,
2026-07-15T05:00,2026-07-15T05:00,14.7,13.6,13.1,90,1025.2,1013.7,14.3,43,27.7,0.0,0.0,0.0,97,,,3,0,05:02,21:22,,,
2026-07-15T06:00,2026-07-15T06:00,14.8,13.8,13.1,90,1025.3,1013.8,13.9,44,28.1,0.0,0.0,0.0,100,,,3,1,05:02,21:22,,,
2026-07-15T07:00,2026-07-15T07:00,15.1,13.8,12.6,85,1025.9,1014.4,14.4,50,32.0,0.0,0.0,0.0,100,,,3,1,05:02,21:22,,,
2026-07-15T08:00,2026-07-15T08:00,15.9,14.4,12.5,80,1025.9,1014.5,15.6,54,33.1,0.0,0.0,0.0,100,,,3,1,05:02,21:22,,,
2026-07-15T09:00,2026-07-15T09:00,17.0,15.5,12.5,75,1026.0,1014.6,15.6,57,34.6,0.0,0.0,0.0,100,,,3,1,05:02,21:22,,,
2026-07-15T10:00,2026-07-15T10:00,18.3,17.0,12.8,70,1026.1,1014.7,14.9,59,34.6,0.0,0.0,0.0,93,,,3,1,05:02,21:22,,,
2026-07-15T11:00,2026-07-15T11:00,19.8,18.2,12.4,62,1026.0,1014.7,16.1,63,36.7,0.0,0.0,0.0,73,,,2,1,05:02,21:22,,,
