captured_at,api_time,temp_c,apparent_c,dew_point_c,humidity_pct,pressure_msl_hpa,surface_pressure_hpa,wind_kph,wind_dir_deg,gusts_kph,precip_mm,rain_mm,snowfall_cm,cloud_pct,uv_index,visibility_m,weather_code,is_day,sunrise,sunset,aqi,pm2_5,pm10
2026-07-15T00:00,2026-07-15T00:00,25.5,25.5,16.0,56,1015.8,1014.4,14.1,346,28.1,0.0,0.0,0.0,8,,,0,0,05:28,20:52,,,
2026-07-15T01:00,2026-07-15T01:00,25.5,25.7,16.7,58,1015.1,1013.7,14.4,23,26.6,0.0,0.0,0.0,17,,,0,0,05:28,20:52,,,
2026-07-15T02:00,2026-07-15T02:00,24.7,25.6,17.3,64,1015.9,1014.5,11.1,59,25.6,0.2,0.2,0.0,100,,,51,0,05:28,20:52,,,
2026-07-15T03:00,2026-07-15T03:00,24.8,26.5,17.8,65,1015.0,1013.6,7.6,338,19.8,0.2,0.2,0.0,59,,,51,0,05:28,20:52,,,
2026-07-15T04:00,2026-07-15T04:00,23.9,27.1,19.6,77,1015.2,1013.8,3.0,245,14.0,0.4,0.4,0.0,79,,,51,0,05:28,20:52,,,
2026-07-15T05:00,2026-07-15T05:00,23.5,25.7,20.3,82,1014.7,1013.3,12.5,323,22.0,0.0,0.0,0.0,64,,,2,0,05:28,20:52,,,
2026-07-15T06:00,2026-07-15T06:00,23.4,26.2,20.2,82,1015.5,1014.1,7.9,321,22.3,0.0,0.0,0.0,97,,,3,1,05:28,20:52,,,
2026-07-15T07:00,2026-07-15T07:00,24.2,26.9,19.6,76,1015.5,1014.1,6.0,10,24.5,0.1,0.1,0.0,84,,,51,1,05:28,20:52,,,
2026-07-15T08:00,2026-07-15T08:00,25.4,27.8,19.9,71,1016.7,1015.3,9.7,195,16.6,0.0,0.0,0.0,79,,,2,1,05:28,20:52,,,
2026-07-15T09:00,2026-07-15T09:00,25.3,27.5,18.2,65,1016.2,1014.8,5.2,266,40.3,0.1,0.1,0.0,34,,,51,1,05:28,20:52,,,
2026-07-15T10:00,2026-07-15T10:00,26.8,28.1,19.9,66,1016.8,1015.4,18.0,263,41.4,0.0,0.0,0.0,26,,,1,1,05:28,20:52,,,
2026-07-15T11:00,2026-07-15T11:00,27.1,30.2,21.5,71,1016.6,1015.2,10.8,274,40.0,0.0,0.0,0.0,2,,,0,1,05:28,20:52,,,
2026-07-15T12:00,2026-07-15T12:00,28.5,33.2,22.1,68,1016.6,1015.2,12.0,251,31.0,0.0,0.0,0.0,3,,,0,1,05:28,20:52,,,
2026-07-15T13:00,2026-07-15T13:00,29.8,32.5,19.2,53,1016.4,1015.0,16.5,237,34.2,0.0,0.0,0.0,19,,,0,1,05:28,20:52,,,
2026-07-15T14:00,2026-07-15T14:00,28.6,31.5,20.5,62,1016.6,1015.2,19.2,255,44.3,0.0,0.0,0.0,59,,,2,1,05:28,20:52,,,
2026-07-15T15:00,2026-07-15T15:00,27.7,31.5,22.2,72,1016.5,1015.1,18.3,277,46.4,0.0,0.0,0.0,4,,,0,1,05:28,20:52,,,
2026-07-15T16:00,2026-07-15T16:00,28.6,31.3,20.6,62,1017.0,1015.6,16.4,306,42.5,0.0,0.0,0.0,37,,,1,1,05:28,20:52,,,
2026-07-15T17:00,2026-07-15T17:00,29.9,31.1,17.8,48,1016.6,1015.2,11.2,322,38.5,0.0,0.0,0.0,10,,,0,1,05:28,20:52,,,
2026-07-15T18:00,2026-07-15T18:00,30.2,30.2,15.5,41,1016.8,1015.4,12.8,2,30.2,0.0,0.0,0.0,44,,,1,1,05:28,20:52,,,
2026-07-15T19:00,2026-07-15T19:00,28.1,30.1,21.4,67,1016.0,1014.6,17.3,291,40.7,0.1,0.1,0.0,20,,,51,1,05:28,20:52,,,
2026-07-15T20:00,2026-07-15T20:00,27.9,30.3,20.7,65,1016.4,1015.0,12.1,291,33.5,0.0,0.0,0.0,36,,,1,1,05:28,20:52,,,
2026-07-15T21:00,2026-07-15T21:00,27.0,30.1,20.8,69,1016.9,1015.5,8.1,298,24.5,0.0,0.0,0.0,77,,,2,0,05:28,20:52,,,
2026-07-15T22:00,2026-07-15T22:00,27.7,29.1,18.1,56,1017.4,1016.0,10.1,19,17.6,0.0,0.0,0.0,100,,,3,0,05:28,20:52,,,
2026-07-15T23:00,2026-07-15T23:00,27.2,27.9,17.4,55,1017.6,1016.2,13.1,56,25.6,0.0,0.0,0.0,100,,,3,0,05:28,20:52,,,
2026-07-16T00:00,2026-07-16T00:00,26.4,27.5,17.5,58,1017.2,1015.8,11.2,93,25.2,0.0,0.0,0.0,89,,,3,0,05:29,20:52,,,
2026-07-16T01:00,2026-07-16T01:00,24.2,27.5,19.3,74,1016.9,1015.5,1.5,330,20.5,0.0,0.0,0.0,82,,,3,0,05:29,20:52,,,
2026-07-16T02:00,2026-07-16T02:00,24.1,27.5,19.3,74,1016.5,1015.1,0.9,349,3.6,0.0,0.0,0.0,95,,,3,0,05:29,20:52,,,
