captured_at,api_time,temp_c,apparent_c,dew_point_c,humidity_pct,pressure_msl_hpa,surface_pressure_hpa,wind_kph,wind_dir_deg,gusts_kph,precip_mm,rain_mm,snowfall_cm,cloud_pct,uv_index,visibility_m,weather_code,is_day,sunrise,sunset,aqi,pm2_5,pm10
2026-07-15T00:00,2026-07-15T00:00,16.5,15.5,13.9,85,1025.0,1013.0,15.1,45,30.6,0.0,0.0,0.0,5,,,0,0,05:02,21:22,,,
2026-07-15T01:00,2026-07-15T01:00,15.5,14.4,13.5,88,1025.3,1013.2,14.8,42,27.4,0.0,0.0,0.0,5,,,0,0,05:02,21:22,,,
2026-07-15T02:00,2026-07-15T02:00,15.2,14.1,13.4,89,1025.2,1013.1,14.4,40,26.3,0.0,0.0,0.0,20,,,1,0,05:02,21:22,,,
2026-07-15T03:00,2026-07-15T03:00,15.1,14.0,13.4,90,1025.1,1013.0,14.3,41,25.9,0.0,0.0,0.0,38,,,1,0,05:02,21:22,,,
2026-07-15T04:00,2026-07-15T04:00,15.0,13.9,13.3,90,1025.0,1012.9,14.6,40,26.3,0.0,0.0,0.0,66,,,2,0,05:02,21:22,,,
2026-07-15T05:00,2026-07-15T05:00,14.8,13.5,13.2,90,1025.0,1012.9,15.3,40,27.7,0.0,0.0,0.0,93,,,3,0,05:02,21:22,,,
2026-07-15T06:00,2026-07-15T06:00,14.9,13.7,13.2,90,1025.2,1013.1,14.9,41,28.4,0.0,0.0,0.0,100,,,3,1,05:02,21:22,,,
2026-07-15T07:00,2026-07-15T07:00,15.4,13.9,12.7,84,1025.7,1013.6,15.8,49,32.4,0.0,0.0,0.0,100,,,3,1,05:02,21:22,,,
2026-07-15T08:00,2026-07-15T08:00,16.2,14.5,12.6,79,1025.7,1013.7,17.1,53,33.5,0.0,0.0,0.0,100,,,3,1,05:02,21:22,,,
2026-07-15T09:00,2026-07-15T09:00,17.4,15.7,12.6,73,1025.8,1013.8,17.3,56,34.9,0.0,0.0,0.0,100,,,3,1,05:02,21:22,,,
2026-07-15T10:00,2026-07-15T10:00,18.6,17.0,12.8,69,1026.0,1014.1,16.9,59,34.9,0.0,0.0,0.0,93,,,3,1,05:02,21:22,,,
2026-07-15T11:00,2026-07-15T11:00,19.9,18.0,12.5,63,1025.9,1014.0,18.2,62,37.8,0.0,0.0,0.0,55,,,2,1,05:02,21:22,,,
2026-07-15T12:00,2026-07-15T12:00,21.9,20.9,12.0,53,1025.4,1013.6,16.1,62,38.2,0.0,0.0,0.0,7,,,0,1,05:02,21:22,,,
2026-07-15T13:00,2026-07-15T13:00,23.3,23.3,11.9,49,1025.0,1013.3,14.2,63,34.9,0.0,0.0,0.0,9,,,0,1,05:02,21:22,,,
2026-07-15T14:00,2026-07-15T14:00,24.3,24.4,12.5,48,1024.2,1012.5,15.1,57,33.5,0.0,0.0,0.0,24,,,1,1,05:02,21:22,,,
2026-07-15T15:00,2026-07-15T15:00,25.1,24.9,12.4,45,1023.9,1012.3,15.9,58,34.6,0.0,0.0,0.0,16,,,0,1,05:02,21:22,,,
2026-07-15T16:00,2026-07-15T16:00,25.5,24.8,12.0,43,1023.8,1012.2,15.6,64,34.6,0.0,0.0,0.0,9,,,0,1,05:02,21:22,,,
2026-07-15T17:00,2026-07-15T17:00,25.6,24.3,11.7,42,1023.4,1011.8,15.4,67,33.5,0.0,0.0,0.0,7,,,0,1,05:02,21:22,,,
